,id,author_last,author_first,author,gender,title,year,genre,filename,sentence
630,28027,Paine,Albert Bigelow,"Paine, Albert Bigelow",male,Dwellers in Arcady,1919,novel,PG28027_raw.txt,"Just below the brow of the hill one of the traces broke (it was in the horse-and-wagon days of a dozen years or so ago), and, if our driver had not been a prompt man our adventure might have come to grief when it was scarcely begun."
631,1235,Gautier,Théophile,"Gautier, Théophile",male,Captain Fracasse,1863,novel,PG1235_raw.txt,"Upon the southern slope of one of those barren hills that rise abruptly here and there in the desolate expanse of the Landes, in South-western France, stood, in the reign of Louis XIII, a gentleman’s residence, such as abound in Gascony, and which the country people dignify by the name of château."
632,1896,Weyman,Stanley John,"Weyman, Stanley John",male,Under the Red Robe,1894,novel,PG1896_raw.txt,"There were a score round us when the fool, little knowing the man with whom he had to deal, and as little how to lose like a gentleman, flung the words in my teeth."
633,1622,Collins,Wilkie,"Collins, Wilkie",male,The Law and the Lady,1875,novel,PG1622_raw.txt,"“FOR after this manner in the old time the holy women also who trusted in God adorned themselves, being in subjection unto their own husbands; even as Sarah obeyed Abraham, calling him lord; whose daughters ye are as long as ye do well, and are not afraid with any amazement.”"
634,10977,Curwood,James Oliver,"Curwood, James Oliver",male,The Grizzly King,1916,novel,PG10977_raw.txt,"With the silence and immobility of a great reddish-tinted, rock, Thor stood for many minutes looking out over his domain."
635,40719,Benson,E. F. (Edward Frederic),"Benson, E. F. (Edward Frederic)",male,Dodo Wonders--,1921,novel,PG40719_raw.txt,"Dodo was so much interested in what she had herself been saying, that having just lit one cigarette, she lit another at it, and now Arbuthnot, who had just returned from a musical tour in Germany, where she had conducted a dozen concerts consisting entirely of her own music with flaring success."
636,40034,Scott,John Reed,"Scott, John Reed",male,The Princess Dehra,1908,adventure novel,PG40034_raw.txt,"And at her name every woman of them curtsied and every man uncovered; blaming High Heaven the while, that she might not reign over them, when Frederick the King were gone; and well prepared to welcome the new heir if she were to be his queen."
637,5145,Fox,John,"Fox, John",male,The Heart of the Hills,1914,novel,PG5145_raw.txt,"Twin spirals of blue smoke rose on either side of the spur, crept tendril-like up two dark ravines, and clearing the feathery green crests of the trees, drifted lazily on upward until, high above, they melted shyly together and into the haze that veiled the drowsy face of the mountain."
638,37189,West,Rebecca,"West, Rebecca",female,The Return of the Soldier,1918,novel,PG37189_raw.txt,"""Ah, don't begin to fuss!"" wailed Kitty."
639,18668,Chambers,Robert W. (Robert William),"Chambers, Robert W. (Robert William)",male,In Search of the Unknown,1904,science fiction,PG18668_raw.txt,"Because it all seems so improbable--so horribly impossible to me now, sitting here safe and sane in my own library--I hesitate to record an episode which already appears to me less horrible than grotesque."
640,40024,Sterrett,Frances R. (Frances Roberta),"Sterrett, Frances R. (Frances Roberta)",female,Rebecca's Promise,1919,novel,PG40024_raw.txt,"""I never should have brought you here,"" murmured Cousin Susan Wentworth, as she looked across the table at young Cousin Rebecca Mary Wyman, who sat on the other side of the white cloth like a small gray mouse with bright expectant eyes, a pretty pink flush on her cheeks and her head with its crown of soft yellow brown hair held high."
641,23730,Hendryx,James B. (James Beardsley),"Hendryx, James B. (James Beardsley)",male,The Promise,1915,novel,PG23730_raw.txt,Young Carmody awoke to the realization of another day.
642,42859,White,Michael,"White, Michael",male,"Lachmi Bai, Rani of Jhansi",1901,novel,PG42859_raw.txt,"The June sun of Central India blazed fiercely upon an uneven plain, upon a river winding to the northward, a lake bordered by trees, and upon the walled city of Jhansi with its rock fortress rising precipitously to guard the western front."
