,author_last,author_first,title,year,genre_3,filename,beginnings
0,Storm, Theodor,Sämtliche Werke. Fünfter Band,1919,"Romane, Novellen und Erzählungen",Theodor_Storm_-_Sämtliche_Werke._Fünfter_Band.txt,"Eigentlich hieß er Carsten Carstens und war der Sohn eines Kleinbürgers, von dem er ein schon vom Großvater erbautes Haus an der Twiete des Hafenplatzes ererbt hatte und außerdem einen Handel mit gestrickten Wollwaren und solchen Kleidungsstücken, wie deren die Schiffer von den umliegenden Inseln auf ihren Seefahrten zu gebrauchen pflegten."
1,Leppin, Paul,Severins Gang in die Finsternis: Ein Prager Gespensterroman,1914,Historische Romane und Erzählungen,"Leppin,_Paul_-_Severins_Gang_in_die_Finsternis:_Ein_Prager_Gespensterroman-41320.txt",In diesem Herbste war Severin dreiundzwanzig Jahre alt geworden. 
2,Lindau, Rudolf,Das Glückspendel,1909,"Romane, Novellen und Erzählungen",Rudolf_Lindau_-_Das_Glückspendel.txt,Seit langen Jahren hatte Hermann Fabricius seinen alten Freund Heinrich Warren aus den Augen verloren – und vergessen. 
3,Olfers,Marie von,Frost in Blüthen,1876,"Romane, Novellen und Erzählungen",Marie_von_Olfers_-_Frost_in_Blüthen.txt,"Mit vieler Müh' hatte sich Dorothee von Ort zu Ort geschleppt – es gab gute Leute am Weg, sonst wäre sie wohl verkommen wie viele Ihresgleichen."
4,Pierson, Karoline,Das graue Haus in der Rue Richelieu / Eine Criminalgeschichte,1867,"Krimis, Thriller, Spionage",Karoline_Pierson_-_Das_graue_Haus_in_der_Rue_Richelieu_|_Eine_Criminalgeschichte.txt,"An einem sonnigen Maimorgen gingen zwei Herren über die Brücke in Paris, die den Namen pont neuf führt."
5,Paalzow, Henriette,Thomas Thyrnau – Dritter Theil,1843,Historische Romane und Erzählungen,Henriette_Paalzow_-_Thomas_Thyrnau_–_Dritter_Theil.txt,Der Oktober-Morgen lag mit seinem vollen magischen Reichthum über der Erde ausgebreitet – der Boden war mit Thauperlen besäet und der Rasen von dem saftigsten Grün. 
6,Wassermann, Jakob,Melusine,1896,"Romane, Novellen und Erzählungen",Jakob_Wassermann_-_Melusine.txt,"Wenige Menschen verstehen es, ihre Wünsche im Bereich des Möglichen zu lassen. "
7,Dominik, Hans,Atomgewicht 500,1934,Science Fiction,Hans_Dominik_-_Atomgewicht_500.txt,"»In Gottes Namen los!« Hart und gepreßt kamen die Worte aus dem Munde Robert Slawters, während seine Rechte den großen Stromschalter umlegte.  "
8,Pötzl, Eduard,Kriminal Humoresken,1906,"Krimis, Thriller, Spionage",Eduard_Pötzl_-_.txt,"Ueber Haarkräusler ist schon viel geschrieben worden, aber lange nicht genug. "
9,Alexis, Willibald,Walladmor,1824,"Romane, Novellen und Erzählungen",Willibald_Alexis_-_Walladmor.txt,"Sir! Wenn Sie sich noch eines jungen Mannes erinnern, den Sie vor ungefähr fünfundzwanzig Jahren auf Ihrem reizenden Landsitze bei Ellismern mit zuvorkommender Gastfreundschaft aufnahmen, so möchte Ihnen auch vielleicht noch eine, vom schönsten Herbstwetter begünstigte, Wasserpartie, welche von einer geistreichen Gesellschaft unter Ihren Auspicien von Chester aus nach der Insel Man und auf dem Rückwege nach Anglesea unternommen wurde, im Angedenken leben. Sie äußerten späterhin Ihre Verwunderung, daß, während Jedermann sich der Freude hingab, der junge Mann allein verschlossen im Hintertheil des Schiffes gesessen, und wenig Antheil an der allgemeinen Lust genommen habe. "
10,Kubitschek, Rudolf,Schnurren und Schwänke aus dem Böhmerwald,1939,"Humor, Satire",Rudolf_Kubitschek_-_Schnurren_und_Schwänke_aus_dem_Böhmerwald.txt,Beim Heimkommen ruft mir jedes Mal aus dem ersten Häuslein ein alter Mann zum blumengeschmückten Fenster heraus: »Grüaß Gott im Böhmerwald!«
11,Hübener, Helene,Maria und Lisa,1904,"Romane, Novellen und Erzählungen",Helene_Hübener_-_Maria_und_Lisa.txt,"Beginn eines Tagebuches am 16. Juli »Liebes Kind, nimm dir irgendeine Arbeit vor, das Ferienleben bringt sowieso viele Stunden des Nichtstuns mit sich«, sagte meine Mutter gestern, die nie sehen kann, wenn ihre Tochter unbeschäftigt dasitzt."
12,Eckstein, Ernst,Vielliebchen,1905,"Romane, Novellen und Erzählungen",Ernst_Eckstein_-_Vielliebchen.txt,Über dem altfränkischen Hausgarten lag die Septembersonne. 
13,Frommel, Emil,Eingeschneit: Eine Studentengeschichte,1899,"Romane, Novellen und Erzählungen","Frommel,_Emil_-_Eingeschneit:_Eine_Studentengeschichte-21917.txt","Es war in den Jahren, da einen weder die Wissenschaft noch der Geldbeutel durch ihre Schwere drücken, als sich etliche Studenten von Erlangen aufmachten, um die Welt zu besehen, ob sie auch wirklich so rund sei,wie der Herr Professor sagte."
14,Gerstäcker, Friedrich,Nach Amerika! Ein Volksbuch. Fünfter Band,1855,"Romane, Novellen und Erzählungen","Gerstäcker,_Friedrich_-_Nach_Amerika!_Ein_Volksbuch._Fünfter_Band-29102.txt","Ehe Hopfgarten das Haus erreichte, mußte er noch über ein Stück frischgepflügten und aufgeweichten Feldes, in dem er beinah stecken blieb."
15,Hackländer, Friedrich Wilhelm,Humoristische Erzählungen,1847,"Humor, Satire",Friedrich_Wilhelm_Hackländer_-_Humoristische_Erzählungen.txt,"Wenn man heutzutage etwas über eine Tour liest, die Dieser oder Jener gemacht hat, so kann man sich sicher darauf verlassen, gleich beim ersten Kapitel, neben Klagen über schlechte Wirthshäuser und theure Rechnungen und dergleichen Fatalitäten mehr, die Engländer, die dem Erzähler begegneten oder nicht begegneten, nach Kräften lächerlich gemacht zu finden."
16,Nettelbeck, Joachim,Des Seefahrers Nettelbeck Lebensgeschichte,1821,Romanhafte Biographien,Joachim_Nettelbeck_-_Des_Seefahrers_Nettelbeck_Lebensgeschichte.txt,Am 20. September 1738 ward ich zu Kolberg geboren und bekam den Taufnamen Joachim. 
17,Kretzer, Max,Der Mann ohne Gewissen,1904,"Romane, Novellen und Erzählungen",Max_Kretzer_-_Der_Mann_ohne_Gewissen.txt,"Draußen war es noch stockdunkel, als August Gläser mit einem lauten Schrei aus einem wüsten Traume erwachte."
18,Baudissin, Ulrich Graf,Der Albatros. Erster Band,1864,"Romane, Novellen und Erzählungen",Graf_Ulrich_Baudissin_-_Der_Albatros._Erster_Band.txt,Bequem in seinem weichgepolsterten Fauteuil hingestreckt saß der reiche Kaufmann Lüders und trank seinen Morgenkaffee. 
19,Stratz, Rudolf,Der mysteriöse Cavalier und andere Novellen,1924,"Romane, Novellen und Erzählungen",Rudolph_Stratz_-_Der_mysteriöse_Cavalier_und_andere_Novellen.txt,"So kamen, wie mit dem Westwind die grauen Wolken, die grauen Sorgen über den Rhein, seitdem Buonaparte und die Franzosen an seinem linken Ufer ihre Zelte aufgeschlagen, und flogen hinüber in das Reich und bis in die einsamen Wälder und Berge rechts vom Rhein, in denen, mit vielen anderen edlen Häusern, auch mein altes und distinguiertes, glaubhaft von Äneas stammendes, alle Zeit mit Rothwachs-Freiheit und dem Prädikat: »hoch- und wohlgeboren« begabtes Geschlecht, seit tausend Jahren frei, nur Seiner römischen Majestät in Wien und sonst Niemandem unterthan, gesessen und väterlich über nun, zu meinen, des Grafen Florentin VII., Zeiten nahe an achthundert Stück Unterthanen regieret. "
20,Kafka,Franz,Die Verwandlung,1916,Phantastische Literatur,Franz_Kafka_-_Die_Verwandlung.txt,"Als Gregor Samsa eines Morgens aus unruhigen Träumen erwachte, fand er sich in seinem Bett zu einem ungeheueren Ungeziefer verwandelt."
21,Storm,Theodor,Viola Tricolor,1873,"Romane, Novellen und Erzählungen",Theodor_Storm_-_Viola_Tricolor.txt,Es war sehr still in dem großen Hause; aber selbst auf dem Flur spürte man den Duft von frischen Blumensträußen.
22,Rilke,Rainer Maria,Die Aufzeichnungen des Malte Laurids Brigge,1910,"Romane, Novellen und Erzählungen",Rainer_Maria_Rilke_-_Die_Aufzeichnungen_des_Malte_Laurids_Brigge.txt,"So, also hierher kommen die Leute, um zu leben, ich würde eher meinen, es stürbe sich hier."
23,Sternheim, Carl,Napoleon: Eine Novelle,1918,Historische Romane und Erzählungen,"Sternheim,_Carl_-_Napoleon:_Eine_Novelle-41384.txt","Napoleon wurde 1820 zu Waterloo im Eckhaus, vor dem sich die Steinwege nach Nivelles und Genappes trennen, geboren. "
24,Einstein, Carl,Der Gaukler der Ebene und andere afrikanische Märchen und Legenden,1912,"Märchen, Sagen, Legenden",Carl_Einstein_-_Der_Gaukler_der_Ebene_und_andere_afrikanische_Märchen_und_Legenden.txt,"Uwolowu sprach zu den Untergöttern: So ein Mensch stirbt, möge er auferstehen. "
25,May, Karl,Schloß Rodriganda,1882,"Romane, Novellen und Erzählungen",Karl_May_-_Schloß_Rodriganda.txt,Es war im Herbst 1847. 
26,Wichert, Ernst,Endrik Kraupatis,1891,"Romane, Novellen und Erzählungen",Ernst_Wichert_-_Endrik_Kraupatis.txt,Die große Mühle in Kraupatischken war vor zwei Jahren abgebrannt. 
27,Christ, Lena,Erinnerungen einer Überflüssigen,1912,"Romane, Novellen und Erzählungen","Christ,_Lena_-_Erinnerungen_einer_Überflüssigen-57853.txt","Oft habe ich versucht, mir meine früheste Kindheit ins Gedächtnis zurückzurufen, doch reicht meine Erinnerung nur bis zu meinem fünften Lebensjahr und ist auch da schon teilweise ausgelöscht. "
28,Hammerstein, Hans Frhr. von,Mangold von Eberstein,1922,"Romane, Novellen und Erzählungen",Hans_Freiherrn_von_Hammerstein_-_Mangold_von_Eberstein.txt,Die Bauern tanzten. 
29,Federer, Heinrich,Spitzbube über Spitzbube,1921,"Romane, Novellen und Erzählungen",Heinrich_Federer_-_Spitzbube_über_Spitzbube.txt,"Ums Jahr 1482 waren in der groben und wildwüchsigen Schweiz zwei Bäume so hoch über alles Gefilde gewachsen, daß man sie weitum im Ausland mit Respekt bemerkte und eifersüchtig von ihrem Schirm und Schatten zu profitieren suchte. "
30,Strubberg, Friedrich (Armand),Sclaverei in Amerika oder Schwarzes Blut. Erster Band,1862,Historische Romane und Erzählungen,Friedrich_Armand_Strubberg_-_Sclaverei_in_Amerika_oder_Schwarzes_Blut._Erster_Band.txt,"Der Himmel, der sich beinahe das ganze Jahr hindurch rein und durchsichtig blau über dem Golf von Mexico, dem schönsten Gewässer der Erde, wölbt, war an einem Oktobertage mit schweren Wolken bedeckt, die gegen Abend immer eiliger und immer niedriger vor dem heftigen, rasch an Gewalt zunehmenden Wind über die Wogen hinjagten und das Tageslicht in ein schauerliches Düster verwandelten. "
31,Stucken, Eduard,Die weißen Götter – Erster Band,1934,Historische Romane und Erzählungen,Eduard_Stucken_-_Die_weißen_Götter_–_Erster_Band.txt,Die Menschheit ist gefangen auf der Erde –: der blaue Äther ist ihre Kerkermauer.  
32,Schurig, Arthur,Der Doppelgänger. Neun neue Beethoven-Novellen,1928,"Romane, Novellen und Erzählungen",Arthur_Schurig_-_Der_Doppelgänger._Neun_neue_Beethoven-Novellen.txt,"Um die Mitte des Juli 1796 trifft Ludwig van Beethoven, von Leipzig kommend, wo er niemanden aufgesucht hat, in Nürnberg ein, niedergeschlagen und krank."
33,Fallada, Hans,Der Trinker,1944,"Romane, Novellen und Erzählungen",Hans_Fallada_-_Der_Trinker.txt,"Ich habe natürlich nicht immer getrunken, es ist sogar nicht sehr lange her, daß ich mit Trinken angefangen habe."
34,Freytag, Gustav,Das Nest der ZaunkönigeErzählung aus dem Anfang des 11. Jahrhunderts,1873,"Romane, Novellen und Erzählungen","Freytag,_Gustav_-_Das_Nest_der_ZaunkönigeErzählung_aus_dem_Anfang_des_11._Jahrhunderts-51151.txt","Wo die Geisa das Wasser ihrer Quellen in die Fulda gießt, lag zwischen Wiesen und fruchtbaren Feldern das Kloster Herolfsfeld."
35,Mann, Thomas,Gladius Dei; Schwere Stunde,1902,"Romane, Novellen und Erzählungen","Mann,_Thomas_-_Gladius_Dei;_Schwere_Stunde-12053.txt",München leuchtete.
36,Meßner, Josef,Waldgeschichten,1857,"Romane, Novellen und Erzählungen",Josef_Meßner_-_Waldgeschichten.txt,"Urkund dessen unsere und zweier erbetenen Zeugen – eigenhändige Unterschrift!« las in kurzen Absätzen im Schreiben der Gemeindeschriftführer des Dorfes Hummelberg, sonst und nebenbei mit dem schlecht rentierenden Amte des Dorfschullehrers bekleidet, worauf er sich von seinem Sitze erhob, die Feder frisch eintunkte und selbe mit der verbindlichen Aufforderung: »Also unterschreiben, meine Herren!« den beiden Bauern hinhielt, die seine Rechtshilfe bei Verfassung des Kaufkontraktes über das Bauernstift Nr. C. 6 im Dorfe in Anspruch genommen hatten."
37,Dahn," Felix / Dahn, Therese",Walhall,1889,"Märchen, Sagen, Legenden",Felix_Dahn_und_Therese_Dahn_-_Walhall.txt,"Der Götterglaube der Germanen war ein Lichtkult, eine Verehrung der wohltätigen, dem Menschen segensreichen Mächte des Lichts, wie sie im Himmel, in der Sonne, den Gestirnen, dem Frühling oder Sommer gegenüber den schädlichen, unheimlichen Gewalten der Nacht, der Finsternis erschienen; auch Heiliges und Böses, Leben und Tod stellte sich ihnen als dieser Gegensatz von Licht und Finsternis dar."
38,Jungnickel, Max,Aus den Papieren eines Wanderkopfes,1918,"Romane, Novellen und Erzählungen",Max_Jungnickel_-_Aus_den_Papieren_eines_Wanderkopfes.txt,Ums rotdächrige Dorf eine Schwarzdornhecke.
39,Platen, August von,Prosatexte,1820,"Romane, Novellen und Erzählungen",August_von_Platen_-_Prosatexte.txt,"Das Königreich Talmyris beherrschte einmal ein gar weiser und trefflicher König, Pherias mit Namen, welcher sich bald nach seiner Thronbesteigung mit dem schönsten Fräulein im Lande vermählte.  "
40,Hoffmann,E.T.A.,Das Fräulein von Scuderi,1819,"Krimis, Thriller, Spionage",E._T._A._Hoffmann_-_Das_Fräulein_von_Scuderi.txt,"In der Straße St. Honoré war das kleine Haus gelegen, welches Magdaleine von Scuderi, bekannt durch ihre anmutigen Verse, durch die Gunst Ludwigs XIV. und der Maintenon, bewohnte."
41,Bern, Maximilian,Ein stummer Musikant,1880,"Romane, Novellen und Erzählungen",Maximilian_Bern_-_Ein_stummer_Musikant.txt,"Auf einsamen Spaziergängen wie im bunten Gewühl des Theaters, im dichten Gedränge der Straßenbummler wie in den lauschigen Winkeln stiller Kirchen, überall ist er mir begegnet, der blasse, hagere Mann mit der Duldermiene eines Christuskopfes. "
42,Gerstäcker, Friedrich,Die Colonie: Brasilianisches Lebensbild. Dritter Band,1864,"Romane, Novellen und Erzählungen","Gerstäcker,_Friedrich_-_Die_Colonie:_Brasilianisches_Lebensbild._Dritter_Band-39545.txt","In der Wohnung der Frau Gräfin sollte heute Abend große Gesellschaft sein, und die Zimmer waren deshalb alle festlich mit Blumen geschmückt, die Cigarrentische ängstlich bei Seite geschafft und einige Dutzend Stearinlichte in den verschiedenen Räumen angezündet, ja, selbst Helenens Instrument in das Empfangszimmer gebracht worden."
43,Saphir, Moritz Gottlieb,Album geselliger Thorheiten,1890,"Romane, Novellen und Erzählungen",Moritz_Gottlieb_Saphir_-_Album_geselliger_Thorheiten.txt,"Moritz Gottlieb Saphir, geboren am 8. Februar 1795 zu Lovas-Bereny bei Pest, von seinen jüdischen Eltern zum Studium des Talmud angehalten und früh in rabbinischem Witz geübt, entfloh 1808 von Hause, lebte in Prag, dem Handelsstand angehörig, und kehrte 1814 nach Pest zurück, wo er sich zuerst journalistischer Thätigkeit widmete."
44,Brentano,Clemens,Das Märchen von dem Myrtenfräulein,1811,"Märchen, Sagen, Legenden",Johannes_Scherr_-_Werther-Graubart.txt,"Im sandigen Lande, wo nicht viel Grünes wächst, wohnten einige Meilen von der prozellanenen Hauptstadt, wo der Prinz Wetschwuth residierte, ein Töpfer und seine Frau mitten auf ihrem Tonfeld neben ihrem Töpferofen, beide ohne Kinder, einsam und allein. "
45,Wildermuth, Ottilie,Perlen aus dem Sande,1867,"Romane, Novellen und Erzählungen",Ottilie_Wildermuth_-_Perlen_aus_dem_Sande.txt,"Echte Perlen wachsen tief auf dem geheimnißvollen Grunde des Meeres, und der Taucher, der diese Schätze der Tiefe heraufholt mit Gefahr seines Lebens, giebt Gesundheit, Lebenslust und Lebensblüthe daran, um den kostbaren Gewinn."
46,Franz, Agnes,Die Schwingen des Lebens,1840,"Romane, Novellen und Erzählungen",Agnes_Franz_-_Die_Schwingen_des_Lebens.txt,"Um das verirrte Geschlecht der Erde zu seinem höhern Ursprung zurückzuführen und seinem Uebermute zu steuern, der über vergänglichem Sinnenrausch die Freuden der Tugend, über irdischem Gewinn seine ewige Bestimmung sich in ihren Herzen verbarg, in einem Spiegel zu offenbaren. Zugleich war ihr Antlitz mit einem so siegenden Glanze bekleidet, daß jeder, ihre göttliche Abkunft erkennend, ihren Worten hingegeben vertraute. "
47,Lienert, Meinrad,Der doppelte Matthias und seine Töchter / 1,1929,"Romane, Novellen und Erzählungen",Meinrad_Lienert_-_Der_doppelte_Matthias_und_seine_Töchter_|_1.txt,Es war aber ein Hirte kleinen Wuchses aber aufrechten Hauptes und mit umtunlichen Augen und Armen und flott ausrückenden kurzen Beinen.    
48,Möllhausen, Balduin,Die Hyänen des Kapitals,1905,"Romane, Novellen und Erzählungen",Balduin_Möllhausen_-_Die_Hyänen_des_Kapitals.txt,Eine nächtliche Zusammenkunft. 
49,Armand,,Carl Scharnhorst. Abenteuer eines deutschen Knaben in Amerika.,1863,Spannung und Abenteuer,Armand_-_Carl_Scharnhorst._Abenteuer_eines_deutschen_Knaben_in_Amerika.-48322.txt,"In dem schönen, gesegneten Werrathale lebte eine Familie, Namens Turner, die aus den beiden Eltern, zwei Söhnen und einer Tochter bestand."
50,Wolzogen, Ernst von,Die tolle Komteß,1889,"Romane, Novellen und Erzählungen",Ernst_von_Wolzogen_-_Die_tolle_Komteß.txt,"In welchem der fremde Herr die Bekanntschaft des alten Hinrichs macht, der Leser einiges über die Leute von Räsendorf erfährt, und Fräulein Sophie vergebens erwartet wird."
51,Jensen, Wilhelm,Auf dem Vestenstein,1912,"Romane, Novellen und Erzählungen",Wilhelm_Jensen_-_Auf_dem_Vestenstein.txt,"Fuchs und Wolf konnten an dem fast rundum senkrechten Absturz des Felspfeilers nicht hinauf, höchstens mocht es da und dort Luchs und Wildkatze gelingen. "
52,Pfeffel, Gottlieb Konrad,Prosaische Versuche / 7. Theil,1811,"Romane, Novellen und Erzählungen",Gottlieb_Conrad_Pfeffel_-_Prosaische_Versuche_|_7._Theil.txt,"Ein großer Mann, bei Gott, ein großer Mann!"
53,Achleitner, Arthur,Der Bezirkshauptmann. Zweiter Teil,1901,"Romane, Novellen und Erzählungen",Arthur_Achleitner_-_Der_Bezirkshauptmann._Zweiter_Teil.txt,"Wenn der Bäckermeister Zoderer zu seinem Freunde Piffrader gesagt hatte, die Verlobung des Steuerinspektors Gritz mit Hedwig solle vorerst nicht publik werden, so war das so wenig ernst gemeint als manche Bürgerrede über das Beamtentum und die absichtlich zur Schau getragene Geringschätzung."
54,Albrecht, Sophie,Das höfliche Gespenst,1797,"Romane, Novellen und Erzählungen",Sophie_Albrecht_-_Das_höfliche_Gespenst.txt," Wenn wir die Zeiten der Vergangenheit überdenken, und uns ihre blutigen Schlachten, ihre fürchterlichen Kriege Schaudern erregen, so verweilt unsere bebende Fantasie mehrentheils bey brennenden Städten, öden Landstrichen, und unter  der grauenvollen Stille todtenreicher Gefilde."
55,Scherr, Johannes,Michel,1858,"Romane, Novellen und Erzählungen",Johannes_Scherr_-_Michel.txt,Wie meine Mutter strickte und mein Vater einen wunderlichen Heiligen anrief.
56,Glauser, Friedrich,Der Chinese,1939,"Krimis, Thriller, Spionage","Glauser,_Friedrich_-_Der_Chinese.txt","Studer stellte das Gas ab, stieg von seinem Motorrad und wunderte sich über die plötzliche Stille, die von allen Seiten auf ihn eindrang."
57,Gerstäcker, Friedrich,Die Regulatoren in Arkansas,1845,Spannung und Abenteuer,Friedrich_Gerstäcker_-_Die_Regulatoren_in_Arkansas.txt,"Wenige Worte werden genügen, diese Erzählung aus den westlichen Wäldern Amerikas bei dem Leser einzuführen und ihn darauf vorzubereiten, was er überhaupt darin zu erwarten hat."
58,Gotthelf, Jeremias,Der Oberamtmann und der Amtsrichter,1853,"Romane, Novellen und Erzählungen",Jeremias_Gotthelf_-_Der_Oberamtmann_und_der_Amtsrichter.txt,"Es war ein schöner Herbsttag; der rote Apfel im grünen Laube, die langen Reihen auf großen Äckern, wahre Schatzgräber, die aus dem Boden schlugen die rauhen Kartoffeln, wichtiger der Menschheit als Silber und Gold, der Sämann, der mit ernstem Gesichte und langen, gemessenen Schritten den Samen strömen läßt aus kundiger Hand, bezeugen es, daß man in die dritte Zeit des Jahres gekommen."
59,Dahn, Felix,Ebroin,1897,Historische Romane und Erzählungen,Felix_Dahn_-_Ebroin.txt,In einer Sommernacht des Jahres sechshundertachtunddreißig nach Christus wurden vor den Thoren von Poitiers zwei Kinder geboren.
60,Jensen, Wilhelm,Hunnenblut,1892,Historische Romane und Erzählungen,Wilhelm_Jensen_-_Hunnenblut.txt,"Wenn der Inn, und ungefähr zehn Meilen östlich von ihm sein größter Zufluß, die Salzach, aus den letzten Alpenbergen hervorbrechen, wendet die letztere sich nordwärts, der erstere sich in einem Halbbogen nach Nordosten."
61,Federn, Karl,Abenteuer und Magie. Band I,1926,"Romane, Novellen und Erzählungen",Karl_Federn_-_Abenteuer_und_Magie._Band_I.txt,"Als Antoine von Chamillac – von den Cloré-Chamillac, die sich seit langem für die erste Familie von Aix hielten, – die Tochter des Marquis von Irville als Gattin heimgeführt hatte, wuchs sein Stolz über die Maßen."
62,Droste-Hülshoff,Annette von,Die Judenbuche,1842,"Romane, Novellen und Erzählungen",Annette_von_Droste-Hülshoff_-_Die_Judenbuche.txt,"Friedrich Mergel, geboren 1738, war der einzige Sohn eines sogenannten Halbmeiers oder Grundeigentümers geringerer Klasse im Dorfe B., das, so schlecht gebaut und rauchig es sein mag, doch das Auge jedes Reisenden fesselt durch die überaus malerische Schönheit seiner Lage in der grünen Waldschlucht eines bedeutenden und geschichtlich merkwürdigen Gebirges."
63,Steinhausen, Heinrich,IrmelaEine Geschichte aus alter Zeit,1881,"Romane, Novellen und Erzählungen","Steinhausen,_Heinrich_-_IrmelaEine_Geschichte_aus_alter_Zeit-24390.txt","Die heitre Sonne des Pfingstsonntages im Jahre des HErrn 13.. sank hinter die rebenbepflanzten Berge, welche von Westen her das liebliche Thal einschließen, in dem die stattlichen Gebäude der wohlbekannten Cisterzienser-Abtei Maulbronn sich erheben."
64,Chamisso,Adelbert von,Peter Schlemihls wundersame Geschichte,1813,"Romane, Novellen und Erzählungen",Adelbert_von_Chamisso_-_Peter_Schlemihls_wundersame_Geschichte.txt,"Nach einer glücklichen, jedoch für mich sehr beschwerlichen Seefahrt, erreichten wir endlich den Hafen. "
65,Heimann, Moritz,Dr. Wislizenus,1921,"Romane, Novellen und Erzählungen",Moritz_Heimann_-_Dr._Wislizenus.txt,"In seinem Hause, das, vom Dorf eine halbe Stunde entfernt, mit Garten und Gehöft, völlig für sich allein im Ausschnitt eines Kiefernwaldes lag, saß an einem Abend gegen Oktoberende der Dr. Wislizenus vor seinem Tische und las."
66,Reuter, Fritz,Memoiren eines alten Fliegenschimmels,1863,"Romane, Novellen und Erzählungen",Fritz_Reuter_-_Memoiren_eines_alten_Fliegenschimmels.txt,"So nenne ich Dich, weil Deine unvergeßliche Mutter, die herrliche Miß Shrimp, aus der Ayescha, aus der Penelope, aus der Merry Maid, aus der mir noch im alten, verschrumpften Herzen thronenden, ewig von mir angebeteten Miß Diamond, die Quellen ihres durch keine Mésalliance verunreinigten Blutes auf diese Letztere zurückführt, und weil Du zu Deines Hauses Glanz durch die Siege auf den Rennbahnen zu Doberan und Güstrow weithinleuchtende Erfolge gefügt hast, kurz weil Du der rechte Spahn vom alten Holze, das rechte Reis vom alten Stamme bist."
67,Olden, Balder,Madumas Vater,1928,"Romane, Novellen und Erzählungen",Balder_Olden_-_Madumas_Vater.txt,"Mitten in Deutschland, in einer so untropisch deutschen Stadt wie Hannover, hatten Schukrins sechs Jahre lang Afrika gespielt."
68,Fischer, Caroline Auguste,Krauskopf und Goldlöckchen,1802,"Romane, Novellen und Erzählungen",Caroline_Auguste_Fischer_-_Krauskopf_und_Goldlöckchen.txt,Die Fee Soline hatte seit mehreren Jahren über verschiedne Königreiche regiert.
69,Rheiner, Walter,Kokain,1918,Phantastische Literatur,"Rheiner,_Walther_-_Kokain.txt","Nacht hing groß in den Bäumen der Allee und tropfte auf seine Schultern nieder, da Tobias unter den flüsternden Ästen dahinschritt."
70,Keller,Paul,Die alte Krone: Ein Roman aus dem Spreewald,1909,"Romane, Novellen und Erzählungen","Keller,_Paul_-_Die_alte_Krone:_Ein_Roman_aus_dem_Spreewald-51722.txt","Gar nicht fern von dem schreienden, lachenden, gellenden Berlin wohnt die große Stille in hohen Föhrenwäldern, ist eine andere Welt, wohnt ein anderes Volk, ist eine andere Zeit."
71,Bonsels, Waldemar,"Himmelsvolk: Ein Buch von Blumen, Tieren und Gott",1915,Phantastische Literatur,"Bonsels,_Waldemar_-_Himmelsvolk:_Ein_Buch_von_Blumen,_Tieren_und_Gott-27220.txt","Bei der Waldwiese, auf der alten Linde, die sich noch kaum belaubt hatte, saß Kuno, der Star, vor Sonnenaufgang und putzte sich im Frühlicht."
72,Richter, Jean Paul,Biographische Belustigungen unter der Gehirnschale einer Riesin,1796,"Romane, Novellen und Erzählungen",Jean_Paul_-_Biographische_Belustigungen_unter_der_Gehirnschale_einer_Riesin.txt,"Auf nichts ist die Welt in Büchern so erpicht als auf das, wovor ihr auf den Theatern so ekelt – aufs Erzählen."
73,Kolb, Annette,Das Exemplar,1913,"Romane, Novellen und Erzählungen","Kolb,_Annette_-_Das_Exemplar-44298.txt","Zwei Monate aus Mariclées seltsamem Leben seien hier preisgegeben und der Vorhang weit davon zurückgeschlagen; dann falle er wieder zu, und sie mag wieder ihres Weges ziehen."
74,Lafontaine, August,Klara du Plessis und Klairant. Zweiter Theil,1801,"Romane, Novellen und Erzählungen",August_Heinrich_Julius_Lafontaine_-_Klara_du_Plessis_und_Klairant._Zweiter_Theil.txt,"Ich habe deinen lezten Brief, meine Klara, und bin nicht unglüklicher, als ich war. "
75,Pfleghar, Artur Jost,Nordleute,1937,"Romane, Novellen und Erzählungen",Artur_Jost_Pfleghar_-_Nordleute.txt,Die Kajüte achteraus liegt zur Hälfte unter der Wasserlinie.
76,Rose, Felicitas,Kerlchen als Erzieher. Provinzmädel Band 3,1903,"Romane, Novellen und Erzählungen",Felicitas_Rose_-_Kerlchen_als_Erzieher._Provinzmädel_Band_3.txt,"Als neulich der Wagen in der Kirchallee vor Villa Käfermann hielt, da stockte mir doch ein klein wenig der Herzschlag."
77,Meyrink, Gustav,Der Golem,1915,Phantastische Literatur,Gustav_Meyrink_-_Der_Golem.txt,"Das Mondlicht fällt auf das Fußende meines Bettes und liegt dort wie ein großer, heller, flacher Stein."
78,Roth, Joseph,Das falsche Gewicht,1937,"Romane, Novellen und Erzählungen",Joseph_Roth_-_Das_falsche_Gewicht.txt,"Es war einmal im Bezirk Zlotogrod ein Eichmeister, der hieß Anselm Eibenschütz."
79,Lossow, Rudolf von,Das Licht am Styx,1943,"Krimis, Thriller, Spionage",Rudolf_von_Lossow_-_Das_Licht_am_Styx.txt,Viel Unruhe liegt in der Luft.
