,author_last,author_first,title,year,genre_3,filename,beginnings
517,Schnitzler, Arthur,Reichtum,1895,"Romane, Novellen und Erzählungen",Arthur_Schnitzler_-_Reichtum.txt,"Frühmorgens, in den Schlummer herein, hörte Weldein die Stimme seiner Frau."
518,Rosner, Karl,Der Fall Versegy,1905,"Krimis, Thriller, Spionage",Karl_Rosner_-_Der_Fall_Versegy.txt,"In einem Schachklub, der die besten Spieler der Stadt allabendlich in ungezwungenem Beisammensein in seinen Räumen vereinte, hatten wir uns zum ersten Male getroffen, Herr Richard Plank und ich."
519,Raabe, Wilhelm,Der Lar,1889,"Romane, Novellen und Erzählungen",Wilhelm_Raabe_-_Der_Lar.txt,"»Der kann gut werden, hat unser Leibarzt gesagt,« sagte Doktor Kohl, als er bei der Taufe seines Erstgeborenen auf seine eigene Geburt zu sprechen kam und erzählte, wie ihn die weise Frau zehn Minuten, nachdem er, »wie die Anderen sagten«, das Licht der Welt erblickt hatte, »quatsch auf den Boden fallen ließ«."
520,Weisflog, Carl,Bürgerliche Historien,1922,"Romane, Novellen und Erzählungen",Carl_Weisflog_-_Bürgerliche_Historien.txt,"Die Reihe des freundlichen Mittwochabendkränzchens traf nun Kommerzienrats, und das Erzählen einer Begebenheit aus dem eigenen Leben gerade auch ihn, den Wirt."
521,Feuchtwanger,Lion,Jud Süß,1925,"Romane, Novellen und Erzählungen","Feuchtwanger,_Lion_-_Jud_Süß-69944.txt","Ein Netz von Adern schnürten sich Straßen über das Land, sich querend, verzweigend, versiegend."
522,Dauthenday, Max,Raubmenschen,1911,"Romane, Novellen und Erzählungen",Max_Dauthendey_-_Raubmenschen.txt,"Rennewart war ein Mann, der Ende des neunzehnten Jahrhunderts und noch zu Beginn des zwanzigsten Jahrhunderts eine gewichtige Rolle an allen europäischen Fürstenhöfen spielte – man könnte ihn eine europäische Geheimgröße nennen."
523,Tieck, Ludwig,Die beiden merkwürdigsten Tage aus Siegmunds Leben,1796,"Romane, Novellen und Erzählungen",Ludwig_Tieck_-_Die_beiden_merkwürdigsten_Tage_aus_Siegmunds_Leben.txt,"Es war schon gegen Abend, als ein Wagen vor dem Gasthofe stillhielt, und ein junger Mensch munter und fröhlich herausstieg, um sich vom Wirt ein Zimmer anweisen zu lassen."
524,Reuter, Gabriele,Aus guter Familie,1895,"Romane, Novellen und Erzählungen",Gabriele_Reuter_-_Aus_guter_Familie.txt,Breit und hell fiel ein Strahl der Frühlingssonne durch das verstaubte Bogenfenster einer Dorfkirche.
525,Wieland, Christoph Martin,Dschinnistan,1786,"Märchen, Sagen, Legenden",Christoph_Martin_Wieland_-_Dschinnistan.txt,"Zwischen unersteiglichen Felsen, die sich nur auf einer Seite auftun, wo das Meer einen kleinen Busen in das Land hinein macht, zieht sich ein langes, fruchtbares, der Welt unbekanntes Tal, das die Einwohner in ihrer Sprache «die ruhige Aue» nennen."
526,Bierbaum, Otto Julius,Hans Wurst und der Riese,1905,"Romane, Novellen und Erzählungen",Otto_Julius_Bierbaum_-_Hans_Wurst_und_der_Riese.txt,"Der Riese Rumbo konnte die Menschen nicht leiden: konnte sie durchaus nicht leiden, weil sie neben ihm so lächerlich klein erschienen, aber doch klüger waren als er, und weil es ihm, von wegen seiner unmässigen Größe und Ungeschlachtheit, nicht möglich war, mit ihnen zusammen zu wohnen."
527,Hahn-Hahn, Ida von,Faustine,1840,"Romane, Novellen und Erzählungen",Ida_Gräfin_Hahn-Hahn_-_Faustine.txt,In Norddeutschland gibt es wohl wenig lieblichere Punkte als die Brühlsche Terrasse in Dresden zur Frühlingszeit.
528,Gutzkow, Karl,Die Ritter vom Geiste. Neuntes Buch,1851,"Romane, Novellen und Erzählungen",Karl_Ferdinand_Gutzkow_-_Die_Ritter_vom_Geiste._Neuntes_Buch.txt,Des Herbstmorgens erste Frische war vorüber.
529,Auerbach, Berthold,Drei einzige Töchter,1875,"Romane, Novellen und Erzählungen",Berthold_Auerbach_-_Drei_einzige_Töchter.txt,"Im Schatten einer großen, mit frischem Frühlingsgrün belaubten Buche, unweit eines mitteldeutschen Bahnhofes, hielt ein mit zwei Schimmeln bespannter offener Wagen; darin saß in die gelblichen damastenen Kissen zurückgelehnt eine jugendliche, in Grau gekleidete Frauengestalt; sie hatte die Arme übereinander gelegt, und hielt ihre großen dunklen Augen nach dem Gebirge gerichtet, das in schön geschwungener Wellenlinie vor ihr lag."
530,Zschokke, Heinrich,Der Freihof von Aarau,1823,"Romane, Novellen und Erzählungen",Heinrich_Zschokke_-_Der_Freihof_von_Aarau.txt,"Man weiß sehr gut, daß Leser und Leserinnen, besonders wenn sie Erheiterung suchen, die Vorreden nicht lieben."
531,May, Karl,Die Sklavenkarawane,1890,"Romane, Novellen und Erzählungen",Karl_May_-_Die_Sklavenkarawane.txt," »Haï es sala« – rief der fromme Schech el dschemali, der Anführer der Karawane – »auf zum Gebete! El Asr ist da, die Zeit der Kniebeugung, drei Stunden nach Mittag!« "
532,Ganghofer, Ludwig,Der Herrgottschnitzer von Ammergau,1880,"Romane, Novellen und Erzählungen",L._Ganghofer_-_Der_Herrgottschnitzer_von_Ammergau.txt,"Die Wiesen, die den Ammerfluß auf beiden Ufern auf dessen Weg geleiten, waren kurz geweidet, und ihre Farbe spielte schon ein wenig in jenes müde Gelbgrün, das für die ganze sprossende Natur der erste Vorbote des nahenden Absterbens ist."
533,Dose, Johannes,Der Muttersohn – Band II,1908,"Romane, Novellen und Erzählungen",Johannes_Dose_-_Der_Muttersohn_–_Band_II.txt,"Es war ein unverhofftes Wiedersehen mit bangen Fragen und bittren Tränen gewesen; aber die heilende Zeit, die durch das langsam wirkende Medikament der Gewöhnung jeden Schmerz lindert, hatte die Mutterkämpfe zur ergebungsvollen Wehmut gedämpft."
534,Serner, Walter,Die tückische Straße,1926,"Krimis, Thriller, Spionage",Walter_Serner_-_Die_tückische_Straße.txt,Das Rendez-vous mit dem Goldzahn Möglichkeiten verpflichten. 
535,Roquette, Otto,Luginsland,1867,"Romane, Novellen und Erzählungen",Otto_Roquette_-_Luginsland.txt,"Nach den entzückenden Landschaften von Oberwesel biegt der Rhein plötzlich um die schroffen Felsen des Roßsteins, und stürzt sich auf eine Reihe hochgethürmter Felsenklippen zu, die »sieben Jungfrauen« genannt."
536,Gangl, Josef,Mutters Bett,1916,"Romane, Novellen und Erzählungen",Josef_Gangl_-_Mutters_Bett.txt,"Ehemals war der Lautdümmelhof von einem der ebensten und schönsten Ackerfelde des Wiener Beckens umgeben, und jetzt steht er auf dem Gipfel eines steillehnigen Hügels."
537,Dreyer, Max,Spuk,1943,"Romane, Novellen und Erzählungen",Max_Dreyer_-_Spuk.txt,"Zwei Gewitter standen über der See, im Südosten das eine, das andere westwärts."
538,Möllhausen, Balduin,Der Vaquero,1905,"Romane, Novellen und Erzählungen",Balduin_Möllhausen_-_Der_Vaquero.txt,"Kansas, einer der jüngeren Staaten der nordamerikanischen Union, wird von dem in den Missouri mündenden Strome gleichen Namens von Westen nach Osten durchschnitten. "
539,Raabe, Wilhelm,Wilhelm Raabe: Die Chronik der Sperlingsgasse,1857,"Romane, Novellen und Erzählungen",Wilhelm_Raabe_-_Wilhelm_Raabe:_Die_Chronik_der_Sperlingsgasse.txt,"Wenn es gewittert, verkriechen sich die Vögel unter dem Busch."
540,Paul,Jean,Der Papierdrache. Erster Theil,1845,"Romane, Novellen und Erzählungen",Jean_Paul_-_Der_Papierdrache._Erster_Theil.txt,"Meine Verwandten werden fast nichts von mir erben, aber sämmtliche kultivirte Völker viel; und ich hätte längst mit diesen Völkern aus der Sache gesprochen, wenn aus dem zeitigen Dekan der theologischen Fakultät ein ordentliches Bedenken wäre herauszutreiben gewesen, in dem es stände, daß die Sache christlich genug wäre."
541,Fendrich, Anton,Emil Himmelheber,1914,"Romane, Novellen und Erzählungen",Anton_Fendrich_-_Emil_Himmelheber.txt,"Die Buckhäuser waren der letzte verlorene Posten einer »Gesellschaft mit beschränkten Grundsätzen«, die sich unter diesem ausdrücklichen Namen vor nun schon mehr als fünfzehn Jahren auf dem Gymnasium von Heitersberg, einer Universitätsstadt im Süden des Reiches konstituiert hatte."
542,Böhlau, Helene,Im Garten der Frau Maria Strom,1922,"Romane, Novellen und Erzählungen",Helene_Böhlau_-_Im_Garten_der_Frau_Maria_Strom.txt,"Es war einmal eine junge heitere Frau, gesund und wohlgemut."
543,Mügge, Theodor,Stellungen und Verhältnisse,1851,"Romane, Novellen und Erzählungen",Theodor_Mügge_-_Stellungen_und_Verhältnisse.txt,"Die Zeiten sind vorüber, wo die reichen Geldmänner in abgelegenen Straßen hinter düsteren vergitterten Fenstern saßen, wo sie über ihre Schätze den Schein äußerer Dürftigkeit breiten mußten, um die Gewaltthätigkeiten der Gewaltigen von sich abzuwenden."
544,Schramek, Josef,Vom Arber bis zum Plöckenstein,1928,"Humor, Satire",Josef_Schramek_-_Vom_Arber_bis_zum_Plöckenstein.txt,"Der Luiselwirt hieß wirklich Luiselwirt, und ich bringe es nicht über die Leber, ihn etwa den Franzelwirt oder den Seppelwirt zu nennen; denn es wäre ebenso lächerlich und ehrenrührig, den Luiselwirt anders zu nennen, als wenn man den Bismarck oder den Kolumbus Krauthuber oder Grießschmarren nennen wollte. "
545,Birt, Theodor,Novellen und Legenden aus verklungenen Zeiten,1916,"Romane, Novellen und Erzählungen",Theodor_Birt_-_Novellen_und_Legenden_aus_verklungenen_Zeiten.txt,Wir saßen am Strand von Phaleron.
546,Kurz, Isolde,Die Stunde des Unsichtbaren,1927,"Romane, Novellen und Erzählungen",Isolde_Kurz_-_Die_Stunde_des_Unsichtbaren.txt,"Der Ingenieur Fritz Westerland, namhaft als Erbauer wichtiger Bahnstrecken in Kleinasien, wollte vor Antritt einer leitenden Stellung in China seine Jugendstadt wiedersehen, die er fast zwei Jahrzehnte grollend gemieden hatte."
547,Dominik, Hans,Die Macht der Drei,1922,Science Fiction,Hans_Dominik_-_Die_Macht_der_Drei.txt,"Das Mysterium von Sing-Sing! Spezialtelegramm: Sing-Sing, 16. Juni, 6 Uhr morgens. "
548,Francois,Louise von,Der Katzenjunker,1879,"Romane, Novellen und Erzählungen",Louise_von_François_-_Der_Katzenjunker.txt,Unser Herzogsschloß auf der Höhe war länger als ein Menschenalter hindurch ein leerstehendes Gehäus über einer Gruft.
549,Seidel, Ina,Das Labyrinth: Ein Lebenslauf aus dem 18. Jahrhundert,1922,"Romane, Novellen und Erzählungen","Seidel,_Ina_-_Das_Labyrinth:_Ein_Lebenslauf_aus_dem_18._Jahrhundert-47941.txt","Hinterher dachte George freilich, es wäre besser gewesen, den Mund zu halten und die neu erworbene Kunstfertigkeit entweder schnell zu vergessen oder sie nur auszuüben, wenn »Er« ferne war, -- etwa wie das Schaukeln auf dem Wiesengatter, das George liebte und das »Er« des Quietschens wegen streng verboten hatte."
550,Schröer, Gustav,Der Heiland vom Binsenhofe,1930,"Romane, Novellen und Erzählungen",Gustav_Schröer_-_Der_Heiland_vom_Binsenhofe.txt,"In zitternden Wellen schwang die Glut über einförmigen, langhin verlaufenden Straßen, an denen die Äpfelbäume ihre filzigen, verstaubten Blätter müde im grellen, sengenden Lichte hängen ließen."
551,Hart, Hans,Das Haus der Titanen,1913,"Romane, Novellen und Erzählungen",Hans_Hart_-_Das_Haus_der_Titanen.txt,"Zwei fette, weiße Hände glitten durch die Luft auf und nieder wie ein schnäbelndes Taubenpaar."
552,Gutzkow, Karl,Die Ritter vom Geiste. Drittes Buch,1851,"Romane, Novellen und Erzählungen",Karl_Ferdinand_Gutzkow_-_Die_Ritter_vom_Geiste._Drittes_Buch.txt,Die Geheimräthin Pauline von Harder winkte... 
553,Lasker-Schüler, Else,Das Peter Hille-Buch,1906,"Romane, Novellen und Erzählungen",Else_Lasker-Schüler_-_Das_Peter_Hille-Buch.txt,"Ich war aus der Stadt geflohen und sank erschöpft vor einem Felsen nieder und rastete einen Tropfen Leben lang, der war tiefer als tausend Jahre."
554,Scheerbart, Paul,Das große Licht,1912,"Romane, Novellen und Erzählungen",Paul_Scheerbart_-_Das_große_Licht.txt,"Im Sommer des Jahres 1912 wurde der alte Münchhausen in Berlin so berühmt, daß ihn eines Tages zehn amerikanische Dollar-Millionäre besuchten und ihn baten, doch eine Glasfabrik, die vierzig Meilen hinter Milwaukee liegt, zu organisieren; er sollte dort Anordnungen treffen, die die Glasarchitektur populär machen könnten."
555,Spielhagen, Friedrich,Mesmerismus,1895,"Romane, Novellen und Erzählungen",Friedrich_Spielhagen_-_Mesmerismus.txt,"Den Titel des Gedichtes zu übersetzen, hatte freilich keine Mühe gemacht: Mesmerism – Mesmerismus; aber viel weiter war Roderich mit der Arbeit nicht vorgerückt, trotzdem er nun schon die halbe Nacht daran gewandt hatte."
556,Prantner, Ferdinand,Dissolving Views: Romanfragmente von Leo Wolfram.,1862,"Romane, Novellen und Erzählungen","Prantner,_Ferdinand_-_Dissolving_Views:_Romanfragmente_von_Leo_Wolfram.-54754.txt",Das Gewitter über dem Gebirgssee war vorüber.
557,Hessel, Franz,Laura Wunderl,1908,"Romane, Novellen und Erzählungen",Franz_Hessel_-_Laura_Wunderl.txt,"Als ich ein junger Student im ersten Semester war, sagten die anderen, die schon länger in München lebten, immer, ich müsste den Mädchen nachgehen: das gehörte sich nun einmal."
558,Blüthgen, Clara,Dilettanten des Lasters,1902,"Romane, Novellen und Erzählungen",Clara_Blüthgen_-_Dilettanten_des_Lasters.txt,»Wollen wir nicht das Fenster ein bischen aufmachen? Ich finde es zum Ersticken heiß.«
559,Dahn,Felix,Der Vater und die Söhne,1882,"Romane, Novellen und Erzählungen",Felix_Dahn_-_Der_Vater_und_die_Söhne.txt,In dem Schreibgemach des bischöflichen Palastes zu Sevilla trat in einer Frühlingsnacht des Jahres 579 nach Christus eine Anzahl von hohen Geistlichen des Westgotenreiches zu geheimer Beratung zusammen.
560,Scharrelmann, Wilhelm,Großmutters Haus und andere Geschichten,1913,"Romane, Novellen und Erzählungen",Wilhelm_Scharrelmann_-_Großmutters_Haus_und_andere_Geschichten.txt,"Ich erinnere mich ganz genau daran, trotzdem nun schon Jahre seitdem verflossen sind."
561,Meding, Oskar,Ritter oder Dame,1878,"Märchen, Sagen, Legenden",Gregor_Samarow_-_Ritter_oder_Dame.txt,"Es war gegen das Ende der fünfziger Jahre im vorigen Jahrhundert, zur Zeit der Regierung Seiner allerchristlichsten Majestät Ludwig XV., welcher in seiner glänzenden hoffnungsvollen Jugend vom Volke den Namen des Vielgeliebten erhalten hatte, den er nun offiziell fortführte, obwohl das Volk selbst ihn weder mit den Lippen noch mit dem Herzen seinem Könige mehr gab, der sich so weit von den Wegen seiner ersten Regierungszeit entfernt hatte und in apathischer Gleichgültigkeit die Staatsgeschäfte meist gehen ließ, wie sie eben wollten und konnten."
562,Halm, Friedrich,Die Marzipan-Lise,1856,"Romane, Novellen und Erzählungen",Friedrich_Halm_-_Die_Marzipan-Lise.txt,"Zu Weßprim in Ungarn lebte in den ersten Jahrzehnten des 18. Jahrhunderts kurze Zeit nach dem Abschlusse des Szathmárer Friedens ein Kaufmann, namens Paul Horváth, in Wohlstand und Fülle des Gedeihens."
563,Rank, Josef,Johannes Volkh - Hausmittel der Liebe - Ein guter Mensch,1867,"Romane, Novellen und Erzählungen",Josef_Rank_-_Johannes_Volkh_-_Hausmittel_der_Liebe_-_Ein_guter_Mensch.txt,"Die Betstunde war vorüber; aus der Kapelle unter den vier Linden kamen noch einzelne Andächtige, während andere bereits in Gruppen herumstanden und die meisten sich nach allen Richtungen des Dorfes zerstreuten."
564,Storm, Theodor,Die Regentrude,1866,"Romane, Novellen und Erzählungen",Theodor_Storm_-_Die_Regentrude.txt,"Einen so heißen Sommer, wie nun vor hundert Jahren, hat es seitdem nicht wieder gegeben."
